_id,dateScanned,barcode,brandCode,purchasedItemCount,totalSpent,userId
601d7c300a7214ad59000384,2021-02-05 12:11:12,,,,28.57,59c124bae4b0299e55b0f330
601d7ca40a720f055400058b,2021-02-05 12:13:08,,,,28.57,59c124bae4b0299e55b0f330
601d7b770a720f0554000016,2021-02-05 12:08:07,,,,28.57,59c124bae4b0299e55b0f330
601d7bb60a720f055400013a,2021-02-05 12:09:10,,,,28.57,59c124bae4b0299e55b0f330
601d7c7f0a7214ad590004f2,2021-02-05 12:12:31,,,,28.57,59c124bae4b0299e55b0f330
601d7d2c0a720f05540007fa,2021-02-05 12:15:24,,,,28.57,59c124bae4b0299e55b0f330
601d7d230a720f05540007ce,2021-02-05 12:15:15,,,,28.57,59c124bae4b0299e55b0f330
601d7c500a720f0554000409,2021-02-05 12:11:44,,,,28.57,59c124bae4b0299e55b0f330
601d7c960a7214ad59000564,2021-02-05 12:12:54,,,,28.57,59c124bae4b0299e55b0f330
601d75dd0a720f05a9000004,2021-02-05 11:44:13,,,,28.57,59c124bae4b0299e55b0f330
601d7c480a720f05540003e0,2021-02-05 12:11:36,,,,28.57,59c124bae4b0299e55b0f330
601d7c280a7214ad5900035c,2021-02-05 12:11:04,,,,28.57,59c124bae4b0299e55b0f330
601d7cd50a7214ad5900069f,2021-02-05 12:13:57,,,,28.57,59c124bae4b0299e55b0f330
601d7b840a720f055400004e,2021-02-05 12:08:20,,,,28.57,59c124bae4b0299e55b0f330
601ead690a720f053c000092,2021-02-06 09:53:29,043000058404,,4.0,4.66,601ead00b57b8a12187fce78
601ead5b0a720f053c00008f,2021-02-06 09:53:15,087684004449,,4.0,4.66,601ead00b57b8a12187fce78
602176c90a7214d8e9000028,2021-02-08 12:37:13,4011,,1.0,1.0,6021768799409b11fcf8987f
602299b40a720f05a80000bc,2021-02-09 09:18:28,4011,,2.0,1.0,6022998599409b11fcf89c53
602299ad0a7214d8e90000d7,2021-02-09 09:18:21,4011,,1.0,1.0,6022998599409b11fcf89c53
6024024b0a7214d8e900018d,2021-02-10 10:56:59,013000006187,,5.0,25.0,602401f1c081001222409ad6
602454340a720f05a80001ae,2021-02-10 16:46:28,,,2.0,5.88,60245433efa60112282c1859
6024024b0a7214d8e900018c,2021-02-10 10:56:59,021000024674,,5.0,25.0,602401f1c081001222409ad6
602429930a720f05a800018b,2021-02-10 13:44:35,013000799102,,5.0,49.95,6024291f58b989121e6bad5f
602402750a720f05a800016f,2021-02-10 10:57:41,043000048528,,5.0,49.95,602401f1c081001222409ad6
602429640a720f05a8000187,2021-02-10 13:43:48,021000030453,,1.0,1.0,54943462e4b07e684157a532
602439950a7214d8e90001c2,2021-02-10 14:52:53,022174070214,,1.0,1.0,54943462e4b07e684157a532
602402600a7214d8e9000195,2021-02-10 10:57:20,071159001750,,4.0,4.66,602401f1c081001222409ad6
602558b60a7214d8e9000266,2021-02-11 11:17:58,4011,,5.0,26.0,602558b1efa60114d20e5dc7
6025386a0a7214d8e9000241,2021-02-11 09:00:10,4011,,2.0,1.0,60253861efa6017a44dc6b50
602538b30a7214d8e9000248,2021-02-11 09:01:23,042800108005,BRAND,1.0,10.0,60253861efa6017a44dc6b50
602538740a7214d8e9000246,2021-02-11 09:00:20,,MISSION,1.0,2.23,60253861efa6017a44dc6b50
602538920a720f05a8000216,2021-02-11 09:00:50,4011,,5.0,20.0,60253891b54593795bf69242
602558a90a720f05a8000240,2021-02-11 11:17:45,4011,,2.0,1.0,60255883efa60114d20e5d4e
602538960a720f05a800021b,2021-02-11 09:00:53,4011,,2.0,23.0,60253891b54593795bf69242
602558b40a7214d8e9000263,2021-02-11 11:17:56,4011,,2.0,26.0,602558b1efa60114d20e5dc7
60268cab0a7214d8e9000315,2021-02-12 09:11:55,4011,,2.0,11.0,54943462e4b07e684157a532
60268caf0a720f05a80002e2,2021-02-12 09:11:59,079400066619,,1.0,1.0,60268c69efa6011bb151075f
60268c7e0a7214d8e9000309,2021-02-12 09:11:10,4011,,3.0,29.0,60268c7bb545931ac63683af
60268c790a7214d8e9000306,2021-02-12 09:11:05,4011,,1.0,25.0,60268c78efa6011bb151077d
603983e20a7217c72c000138,2021-02-26 18:27:30,B076FJ92M4,,2.0,34.96,5fc961c3b8cfca11a077dd33
603973f80a720fde100000e3,2021-02-26 17:19:36,B076FJ92M4,,2.0,34.96,5fc961c3b8cfca11a077dd33
603978600a7217c72c00010b,2021-02-26 17:38:24,B08BGBHHP6,,2.0,25.58,5fc961c3b8cfca11a077dd33
603977e70a720fde100000e8,2021-02-26 17:36:23,665290001184,,1.0,3.99,5fc961c3b8cfca11a077dd33
603a2a470a720fde10000197,2021-02-27 06:17:27,B076FJ92M4,,2.0,34.96,5fc961c3b8cfca11a077dd33
603a327b0a7217c72c0001d1,2021-02-27 06:52:27,B076FJ92M4,,2.0,34.96,5fc961c3b8cfca11a077dd33
603a54770a720fde100001bd,2021-02-27 09:17:27,B076FJ92M4,,2.0,34.96,5fc961c3b8cfca11a077dd33
6039f3340a720fde1000016f,2021-02-27 02:22:28,B076FJ92M4,,2.0,34.96,5fc961c3b8cfca11a077dd33
6039be770a720fde10000143,2021-02-26 22:37:27,B076FJ92M4,,2.0,34.96,5fc961c3b8cfca11a077dd33
6039d4bc0a7217c72c000184,2021-02-27 00:12:28,B076FJ92M4,,2.0,34.96,5fc961c3b8cfca11a077dd33
603995740a720fde10000120,2021-02-26 19:42:28,B076FJ92M4,,2.0,34.96,5fc961c3b8cfca11a077dd33
603a698f0a720fde100001d1,2021-02-27 10:47:27,B076FJ92M4,,2.0,34.96,5fc961c3b8cfca11a077dd33
603a86df0a720fde100001e3,2021-02-27 12:52:31,B076FJ92M4,,2.0,34.96,5fc961c3b8cfca11a077dd33
6039f7e30a7217c72c00019a,2021-02-27 02:42:27,B076FJ92M4,,2.0,34.96,5fc961c3b8cfca11a077dd33
603aab2f0a7217c72c00023a,2021-02-27 15:27:27,B076FJ92M4,,2.0,34.96,5fc961c3b8cfca11a077dd33
603b9a3f0a720fde100002d3,2021-02-28 08:27:27,B076FJ92M4,,2.0,34.96,5fc961c3b8cfca11a077dd33
603af1800a7217c72c00027b,2021-02-27 20:27:28,B076FJ92M4,,2.0,34.96,5fc961c3b8cfca11a077dd33
603c25b30a720fde1000035b,2021-02-28 18:22:27,B076FJ92M4,,2.0,34.96,5fc961c3b8cfca11a077dd33
603b2c1a0a7217c72c0002a9,2021-02-28 00:37:30,B076FJ92M4,,2.0,34.96,5fc961c3b8cfca11a077dd33
